Width,Length,Bedrooms,Bathrooms,District,Province,Price
10.8,7.7,4,5,ha dong,ha noi,11600000000
5.5,15.0,2,1,hue,thua thien-hue,1850000000
5.2,16.0,15,3,quan 5,tp ho chi minh,37000000000
5.5,15.0,3,4,quan 12,tp ho chi minh,5400000000
5.0,16.5,2,2,di an,binh duong,2600000000
5.2,16.0,3,3,da lat,lam dong,40000000000
5.0,16.5,2,3,di an,binh duong,3100000000
5.0,16.5,3,2,di an,binh duong,1250000000
5.0,16.5,3,3,binh thanh,tp ho chi minh,11200000000
5.5,15.0,8,3,tay ho,ha noi,16700000000
5.5,15.0,3,3,binh chanh,tp ho chi minh,1800000000
5.0,16.5,3,3,di an,binh duong,1430000000
5.0,16.5,2,2,di an,binh duong,1200000000
4.6,18.0,3,3,quan 1,tp ho chi minh,19000000000
5.2,16.0,5,3,go vap,tp ho chi minh,4490000000
5.0,16.5,3,2,hoc mon,tp ho chi minh,1100000000
4.6,18.0,3,3,hoan kiem,ha noi,11000000000
5.2,16.0,5,5,nam tu liem,ha noi,22500000000
4.7,17.7,3,3,quan 1,tp ho chi minh,27800000000
5.5,15.0,4,6,long bien,ha noi,9000000000
5.5,15.0,4,3,binh chanh,tp ho chi minh,1450000000
5.5,15.0,3,3,tan binh,tp ho chi minh,13500000000
5.0,16.5,3,2,di an,binh duong,850000000
5.0,16.6,3,3,vung tau,ba ria-vung tau,6100000000
4.5,18.5,5,6,quan 10,tp ho chi minh,11900000000
5.2,16.0,3,3,quan 1,tp ho chi minh,16000000000
5.5,15.0,4,5,long bien,ha noi,7900000000
5.5,15.0,4,5,long bien,ha noi,9000000000
5.5,15.0,4,3,tan binh,tp ho chi minh,7500000000
5.5,15.0,4,3,quan 10,tp ho chi minh,8700000000
5.5,15.0,3,2,tan binh,tp ho chi minh,9000000000
6.4,13.0,4,5,quan 7,tp ho chi minh,5550000000
5.7,14.5,3,3,le chan,hai phong,18500000000
5.0,16.5,1,1,binh thanh,tp ho chi minh,880000000
4.4,18.95,3,3,quan 8,tp ho chi minh,5500000000
7.5,11.0,3,3,long bien,ha noi,4850000000
5.2,16.0,3,3,quan 3,tp ho chi minh,26500000000
5.5,15.0,4,3,binh chanh,tp ho chi minh,1500000000
5.5,15.0,3,3,quan 10,tp ho chi minh,11700000000
4.6,18.0,12,3,quan 1,tp ho chi minh,48000000000
5.0,16.5,4,3,di an,binh duong,2300000000
5.5,15.0,3,4,hai chau,da nang,6500000000
5.0,16.5,2,2,di an,binh duong,1320000000
5.0,16.5,3,3,di an,binh duong,1700000000
5.0,16.5,3,3,di an,binh duong,3400000000
5.5,15.0,3,3,binh thanh,tp ho chi minh,11000000000
8.3,10.0,3,3,hoang mai,ha noi,3390000000
3.6,23.0,2,2,vung tau,ba ria-vung tau,4400000000
11.0,7.5,12,3,cau giay,ha noi,7300000000
4.16,20.0,6,6,binh thanh,tp ho chi minh,32000000000
5.5,15.0,3,2,binh chanh,tp ho chi minh,1450000000
5.2,16.0,6,6,cau giay,ha noi,14000000000
5.0,16.5,3,4,di an,binh duong,4200000000
5.0,16.5,2,2,di an,binh duong,2850000000
5.0,16.5,10,3,tan binh,tp ho chi minh,7700000000
5.7,14.5,3,3,le chan,hai phong,24000000000
5.0,16.5,3,3,di an,binh duong,980000000
5.0,16.5,6,6,di an,binh duong,2900000000
4.9,17.0,3,3,tan binh,tp ho chi minh,21000000000
5.0,16.5,3,4,thanh khe,da nang,6900000000
6.4,13.0,4,5,nha be,tp ho chi minh,5800000000
5.0,16.5,4,5,vung tau,ba ria-vung tau,6700000000
8.3,10.0,4,3,cau giay,ha noi,50000000000
5.0,16.5,4,3,di an,binh duong,3600000000
55.0,15.0,4,3,tan phu,tp ho chi minh,3500000000
65.0,65.0,6,6,dong da,ha noi,6800000000
4.9,24.0,2,3,bien hoa,dong nai,3500000000
6.2,19.0,5,6,thanh xuan,ha noi,11500000000
4.71,25.0,2,1,thanh khe,da nang,10500000000
4.2,28.0,3,3,tan binh,tp ho chi minh,12700000000
4.2,28.0,5,5,quan 3,tp ho chi minh,19000000000
4.2,28.0,3,3,quan 11,tp ho chi minh,13900000000
4.2,28.0,5,5,quan 11,tp ho chi minh,10100000000
4.37,27.11,3,3,vung tau,ba ria-vung tau,9600000000
4.2,28.0,4,3,bien hoa,dong nai,8000000000
5.0,23.5,3,3,buon ma thuot,dak lak,2450000000
5.0,23.5,10,3,son tra,da nang,13500000000
4.2,28.0,2,1,bien hoa,dong nai,4200000000
7.4,16.0,2,2,go vap,tp ho chi minh,3000000000
4.2,28.0,3,3,bien hoa,dong nai,8000000000
5.15,23.0,3,3,vung tau,ba ria-vung tau,14500000000
5.6,21.0,8,8,thu duc,tp ho chi minh,5200000000
5.35,22.0,3,3,vung tau,ba ria-vung tau,4200000000
13.4,8.8,4,4,quan 7,tp ho chi minh,6350000000
4.9,24.0,3,3,son tra,da nang,6000000000
5.35,22.0,3,3,vung tau,ba ria-vung tau,4200000000
34.0,9.5,4,2,thanh xuan,ha noi,2800000000
19.0,17.0,4,2,lien chieu,da nang,3600000000
17.0,29.0,6,5,quan 7,tp ho chi minh,44590000000
4.3,16.5,3,2,bien hoa,dong nai,1900000000
4.2,17.0,4,4,quan 5,tp ho chi minh,13000000000
4.2,17.0,2,1,pleiku,gia lai,3500000000
5.0,14.25,2,2,quan 11,tp ho chi minh,975000000
4.7,15.0,16,3,gia lam,ha noi,7500000000
4.2,17.0,2,2,quan 1,tp ho chi minh,9700000000
4.9,14.5,4,3,quan 11,tp ho chi minh,6100000000
4.15,17.0,4,3,go vap,tp ho chi minh,1550000000
4.7,15.0,4,3,quan 10,tp ho chi minh,14500000000
6.6,10.8,3,2,bien hoa,dong nai,2400000000
5.9,12.0,2,1,bien hoa,dong nai,1600000000
4.2,17.0,4,3,quan 10,tp ho chi minh,18000000000
4.2,17.0,2,2,ben tre,ben tre,1250000000
4.0,17.8,2,2,hoc mon,tp ho chi minh,1050000000
4.6,15.5,3,4,quan 7,tp ho chi minh,4850000000
7.06,10.0,3,3,hoai duc,ha noi,1850000000
4.7,15.0,2,2,ninh kieu,can tho,6500000000
7.1,10.0,4,4,dong da,ha noi,10900000000
4.2,17.0,4,3,vung tau,ba ria-vung tau,6200000000
5.1,14.0,4,4,dong da,ha noi,20000000000
7.1,10.0,5,4,ba dinh,ha noi,7600000000
5.0,14.1,2,2,binh tan,tp ho chi minh,1600000000
4.2,17.0,5,6,quan 10,tp ho chi minh,14400000000
5.0,14.2,3,2,quan 5,tp ho chi minh,1250000000
5.0,14.2,4,4,nam tu liem,ha noi,7900000000
4.43,16.0,4,2,da lat,lam dong,4300000000
4.2,17.0,2,2,quan 1,tp ho chi minh,9500000000
4.2,17.0,4,3,quan 11,tp ho chi minh,11800000000
7.1,10.0,15,3,dong da,ha noi,6900000000
4.7,15.0,6,6,tan binh,tp ho chi minh,11700000000
7.1,10.0,4,3,tan phu,tp ho chi minh,6800000000
4.7,15.0,4,4,tay ho,ha noi,4700000000
4.2,17.0,4,3,binh thanh,tp ho chi minh,13900000000
5.0,14.2,5,4,cau giay,ha noi,13500000000
4.7,15.0,4,5,go vap,tp ho chi minh,4800000000
4.2,17.0,4,5,nha be,tp ho chi minh,6500000000
4.2,17.0,4,3,tan phu,tp ho chi minh,15000000000
4.2,17.0,4,4,cau giay,ha noi,5600000000
4.7,15.0,4,4,quan 7,tp ho chi minh,12500000000
4.25,16.6,4,3,tan phu,tp ho chi minh,4000000000
5.25,13.5,4,3,go vap,tp ho chi minh,5850000000
4.6,15.5,4,3,quan 7,tp ho chi minh,4850000000
5.6,12.61,4,4,go vap,tp ho chi minh,6200000000
5.1,14.0,2,2,quan 4,tp ho chi minh,1100000000
4.2,17.0,4,3,quan 5,tp ho chi minh,10900000000
4.8,14.8,4,4,dong da,ha noi,10700000000
7.0,10.2,4,4,nam tu liem,ha noi,6500000000
4.2,17.0,2,1,ha dong,ha noi,4800000000
4.0,17.85,2,1,binh tan,tp ho chi minh,5300000000
4.7,15.0,3,3,go vap,tp ho chi minh,7500000000
7.1,10.0,4,3,dong da,ha noi,20500000000
4.5,15.8,2,2,go vap,tp ho chi minh,6500000000
4.2,17.0,4,5,quan 7,tp ho chi minh,6900000000
4.2,17.0,5,5,go vap,tp ho chi minh,7200000000
4.2,17.0,4,3,tan binh,tp ho chi minh,14000000000
4.2,17.0,2,3,quan 3,tp ho chi minh,6000000000
4.2,17.0,7,7,quan 10,tp ho chi minh,17000000000
7.1,10.0,14,3,dong da,ha noi,26500000000
4.0,17.8,4,4,thanh xuan,ha noi,5600000000
4.2,17.0,12,3,binh thanh,tp ho chi minh,14200000000
4.7,15.0,6,6,quan 7,tp ho chi minh,15200000000
5.2,13.7,5,5,quan 7,tp ho chi minh,6900000000
4.2,17.0,5,4,dong da,ha noi,4900000000
4.7,15.0,4,3,thu duc,tp ho chi minh,2150000000
4.2,17.0,4,3,thu duc,tp ho chi minh,2950000000
4.0,17.7,4,3,tan phu,tp ho chi minh,7350000000
4.57,15.5,4,3,long xuyen,an giang,3150000000
4.2,17.0,4,3,quan 10,tp ho chi minh,17500000000
4.2,17.0,4,4,cau giay,ha noi,5500000000
4.6,15.5,4,3,hoang mai,ha noi,7680000000
4.2,17.0,2,1,vung tau,ba ria-vung tau,3500000000
4.2,17.0,3,1,vung tau,ba ria-vung tau,3500000000
3.8,18.7,4,3,thanh xuan,ha noi,11000000000
4.2,17.0,3,3,tan phu,tp ho chi minh,6700000000
4.2,17.0,6,7,quan 1,tp ho chi minh,14000000000
4.0,17.8,3,3,thu duc,tp ho chi minh,6000000000
6.0,31.0,4,3,chau thanh,tien giang,2190000000
16.0,26.0,10,10,tan binh,tp ho chi minh,25900000000
32.0,13.0,4,3,nha be,tp ho chi minh,2990000000
16.0,26.0,4,4,da lat,lam dong,73800000000
16.0,26.0,5,5,nha trang,khanh hoa,32000000000
16.0,26.0,2,1,ba ria,ba ria-vung tau,2600000000
32.0,13.0,4,3,nha be,tp ho chi minh,2450000000
16.0,26.0,6,5,quan 7,tp ho chi minh,41790000000
5.8,16.0,4,4,phu nhuan,tp ho chi minh,12500000000
4.9,19.0,4,3,quan 3,tp ho chi minh,31990000000
6.2,15.0,4,5,long bien,ha noi,10700000000
5.0,18.5,4,3,da lat,lam dong,14000000000
3.7,25.0,3,2,binh thanh,tp ho chi minh,6200000000
9.0,10.3,4,5,tay ho,ha noi,9200000000
5.0,18.5,4,4,thu duc,tp ho chi minh,4700000000
9.0,10.3,4,3,tay ho,ha noi,11700000000
9.0,10.3,12,3,tay ho,ha noi,89000000000
5.0,18.5,5,6,quan 7,tp ho chi minh,8900000000
7.3,12.7,3,3,vung tau,ba ria-vung tau,5400000000
6.2,15.0,4,5,thanh xuan,ha noi,11500000000
3.1,30.0,2,2,nam dinh,nam dinh,2550000000
4.9,19.0,2,3,go vap,tp ho chi minh,5900000000
6.0,15.5,4,3,da lat,lam dong,6400000000
5.0,18.6,3,3,lien chieu,da nang,4848000000
9.0,10.3,20,3,tay ho,ha noi,22600000000
5.0,18.5,5,5,tan phu,tp ho chi minh,11000000000
10.0,9.3,3,3,vung tau,ba ria-vung tau,5500000000
5.3,17.5,3,2,tan binh,tp ho chi minh,9000000000
9.0,10.3,4,3,tay ho,ha noi,90000000000
9.0,10.3,6,3,tay ho,ha noi,10200000000
5.0,18.5,3,2,hue,thua thien-hue,3380000000
9.0,10.3,6,3,tay ho,ha noi,90000000000
5.15,18.0,3,3,da lat,lam dong,3600000000
6.2,15.0,4,3,tan binh,tp ho chi minh,5700000000
5.8,16.0,5,5,cau giay,ha noi,16500000000
5.0,18.5,2,1,thu dau mot,binh duong,1700000000
6.4,14.5,4,3,le chan,hai phong,2990000000
6.2,15.0,4,3,quan 4,tp ho chi minh,38000000000
4.65,20.0,2,2,dong da,ha noi,22000000000
5.0,18.5,3,2,bien hoa,dong nai,1179000000
5.0,18.5,5,5,tan binh,tp ho chi minh,23000000000
5.0,18.5,4,3,vung tau,ba ria-vung tau,4350000000
6.2,15.0,2,1,bien hoa,dong nai,1650000000
5.8,16.0,5,5,phu nhuan,tp ho chi minh,12500000000
5.0,18.5,4,4,hai chau,da nang,7200000000
5.0,18.5,4,3,vung tau,ba ria-vung tau,15000000000
9.3,10.0,3,3,dong da,ha noi,3500000000
5.0,18.5,3,2,hue,thua thien-hue,3400000000
6.2,15.0,4,5,long bien,ha noi,12000000000
5.0,18.5,2,1,long thanh,dong nai,1250000000
9.0,10.3,6,4,tay ho,ha noi,22500000000
6.0,15.5,4,3,long bien,ha noi,4300000000
5.0,18.5,4,4,cau giay,ha noi,17000000000
7.0,13.3,3,3,hai chau,da nang,16500000000
5.0,18.5,2,1,ben cat,binh duong,1250000000
5.0,18.5,3,1,long thanh,dong nai,1250000000
9.0,10.3,4,3,tay ho,ha noi,23500000000
4.92,19.0,4,3,thanh khe,da nang,2500000000
9.0,10.3,6,6,tay ho,ha noi,27600000000
6.2,15.0,3,1,can giuoc,long an,1500000000
13.0,18.5,4,3,phu quoc,kien giang,34000000000
14.0,17.2,4,3,vung tau,ba ria-vung tau,21500000000
20.0,16.0,4,3,nha trang,khanh hoa,7800000000
20.0,16.0,4,3,nha trang,khanh hoa,39000000000
16.0,20.0,3,3,luong son,hoa binh,800000000
16.0,20.0,3,3,luong son,hoa binh,8300000000
20.0,16.0,4,3,nha trang,khanh hoa,31000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2500000000
20.0,16.0,4,3,nha trang,khanh hoa,20000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2600000000
20.0,16.0,3,3,binh chanh,tp ho chi minh,1750000000
20.0,16.0,4,3,nha trang,khanh hoa,7200000000
20.0,16.0,3,3,binh chanh,tp ho chi minh,2600000000
16.0,20.0,4,3,cam pha,quang ninh,14400000000
10.0,32.0,2,2,hoc mon,tp ho chi minh,650000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,1780000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2900000000
20.0,16.0,4,3,nha trang,khanh hoa,18000000000
20.0,16.0,5,3,nha trang,khanh hoa,17000000000
10.0,32.0,16,3,hoc mon,tp ho chi minh,620000000
16.0,20.0,4,3,phan thiet,binh thuan,3500000000
20.0,16.0,10,10,binh chanh,tp ho chi minh,3200000000
8.0,40.0,8,3,tan binh,tp ho chi minh,42000000000
32.0,10.0,3,4,hai ba trung,ha noi,2200000000
16.0,20.0,3,3,cu chi,tp ho chi minh,1400000000
4.0,80.0,4,5,quan 7,tp ho chi minh,8500000000
20.0,16.0,4,3,binh chanh,tp ho chi minh,2000000000
20.0,16.0,3,3,binh chanh,tp ho chi minh,2400000000
16.0,20.0,4,3,tan binh,tp ho chi minh,62000000000
16.0,20.0,4,3,tan binh,tp ho chi minh,64000000000
20.0,16.0,3,4,binh chanh,tp ho chi minh,1500000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2800000000
20.0,16.0,4,3,nha trang,khanh hoa,20000000000
20.0,16.0,2,3,nha trang,khanh hoa,30000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2400000000
20.0,16.0,4,3,nha trang,khanh hoa,24310000000
16.0,20.0,3,3,luong son,hoa binh,7000000000
16.0,20.0,6,6,luong son,hoa binh,5000000000
8.0,40.0,10,3,tan binh,tp ho chi minh,43800000000
20.0,16.0,3,4,binh chanh,tp ho chi minh,2400000000
6.8,47.0,4,3,vung tau,ba ria-vung tau,8200000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2700000000
4.0,80.0,4,6,tan binh,tp ho chi minh,14000000000
20.0,16.0,15,3,nha trang,khanh hoa,14500000000
20.0,16.0,3,3,binh chanh,tp ho chi minh,1500000000
20.0,16.0,3,3,binh chanh,tp ho chi minh,2300000000
20.0,16.0,4,3,binh chanh,tp ho chi minh,1700000000
8.0,40.0,10,10,binh thanh,tp ho chi minh,50000000000
20.0,16.0,4,3,binh chanh,tp ho chi minh,2500000000
20.0,16.0,4,3,binh chanh,tp ho chi minh,2500000000
16.0,20.0,2,2,luong son,hoa binh,1200000000
20.0,16.0,4,3,nha trang,khanh hoa,9500000000
32.0,10.0,3,3,thanh xuan,ha noi,3750000000
16.0,20.0,3,3,luong son,hoa binh,7900000000
16.0,20.0,4,3,tan binh,tp ho chi minh,63000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,1900000000
10.0,32.0,3,3,thanh xuan,ha noi,3000000000
4.0,80.0,4,3,tan phu,tp ho chi minh,10500000000
20.0,16.0,16,3,binh chanh,tp ho chi minh,1400000000
16.0,20.0,18,3,da lat,lam dong,13500000000
16.0,20.0,3,2,luong son,hoa binh,843000000
20.0,16.0,4,3,da lat,lam dong,6500000000
4.0,80.0,2,3,binh thanh,tp ho chi minh,5700000000
8.0,40.0,3,3,thu duc,tp ho chi minh,8500000000
20.0,16.0,1,1,binh chanh,tp ho chi minh,2500000000
20.0,16.0,3,3,nha trang,khanh hoa,10800000000
8.0,40.0,4,3,tan phu,tp ho chi minh,45000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,3000000000
20.0,16.0,4,3,nha trang,khanh hoa,20250000000
20.0,16.0,4,3,nha trang,khanh hoa,15000000000
20.0,16.0,3,4,binh chanh,tp ho chi minh,2700000000
16.0,20.0,4,5,long bien,ha noi,9500000000
16.0,20.0,4,3,cam pha,quang ninh,13440000000
10.0,32.0,4,3,thu duc,tp ho chi minh,21000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2000000000
20.0,16.0,4,4,binh chanh,tp ho chi minh,2950000000
19.0,28.0,8,6,da lat,lam dong,16000000000
45.0,15.0,3,3,hoc mon,tp ho chi minh,1400000000
45.0,15.0,3,3,hoc mon,tp ho chi minh,1436000000
15.0,45.0,3,2,tan phu,tp ho chi minh,70000000000
15.0,45.0,3,3,tan phu,tp ho chi minh,7000000000
45.0,15.0,3,3,tan binh,tp ho chi minh,4000000000
45.0,15.0,3,3,tan phu,tp ho chi minh,3650000000
45.0,15.0,3,3,tan binh,tp ho chi minh,3500000000
45.0,15.0,3,3,tan binh,tp ho chi minh,3690000000
45.0,15.0,3,3,tan binh,tp ho chi minh,3300000000
3.0,10.3,3,3,tay ho,ha noi,5800000000
3.0,10.3,4,5,tay ho,ha noi,3600000000
3.1,10.0,2,3,nha be,tp ho chi minh,1400000000
3.0,10.3,5,4,tay ho,ha noi,6500000000
3.9,8.0,3,3,dong da,ha noi,6100000000
3.3,9.5,3,3,quan 12,tp ho chi minh,1750000000
2.6,12.0,1,1,quan 10,tp ho chi minh,3900000000
3.4,9.0,4,3,hoang mai,ha noi,1950000000
3.0,10.3,2,2,tay ho,ha noi,3500000000
3.0,10.3,4,3,tay ho,ha noi,8000000000
3.0,10.3,4,4,tay ho,ha noi,6300000000
4.4,7.0,2,3,ba dinh,ha noi,3000000000
3.25,9.5,2,3,thu duc,tp ho chi minh,3300000000
3.2,9.8,3,3,dong da,ha noi,3500000000
3.0,10.3,9,5,hoang mai,ha noi,1950000000
7.8,4.0,1,1,vung tau,ba ria-vung tau,1300000000
2.67,11.6,3,3,da lat,lam dong,6500000000
3.0,10.3,2,3,tay ho,ha noi,2500000000
3.1,10.0,3,2,hoang mai,ha noi,1150000000
3.0,10.3,3,4,tay ho,ha noi,3600000000
3.0,10.3,3,4,tay ho,ha noi,2120000000
3.0,10.3,3,4,tay ho,ha noi,3400000000
4.8,6.5,3,3,go vap,tp ho chi minh,515000000
3.0,10.3,4,4,tay ho,ha noi,6500000000
5.0,6.2,3,3,tay ho,ha noi,3300000000
3.0,10.3,6,4,tay ho,ha noi,5900000000
3.0,10.3,3,4,tay ho,ha noi,2150000000
3.1,10.0,6,3,ba dinh,ha noi,5400000000
3.1,10.0,2,3,dong da,ha noi,2400000000
3.7,8.5,4,3,ha dong,ha noi,2600000000
3.3,9.5,2,3,quan 8,tp ho chi minh,4800000000
3.0,10.3,2,1,tay ho,ha noi,1550000000
3.6,8.5,3,3,quan 10,tp ho chi minh,3700000000
3.0,10.3,4,4,tay ho,ha noi,2300000000
3.1,9.9,3,3,cau giay,ha noi,3000000000
3.1,10.0,3,3,hoang mai,ha noi,1950000000
3.1,10.0,3,4,hoang mai,ha noi,1950000000
3.6,8.5,2,2,hoc mon,tp ho chi minh,1080000000
3.4,9.0,2,2,quan 5,tp ho chi minh,3490000000
3.1,10.0,3,2,ba dinh,ha noi,3150000000
3.1,10.0,3,3,dong da,ha noi,3200000000
3.0,10.3,2,2,tay ho,ha noi,5750000000
3.4,9.0,3,4,ba dinh,ha noi,3800000000
6.46,4.76,3,3,hoai duc,ha noi,2150000000
3.0,10.3,5,4,tay ho,ha noi,3500000000
3.0,10.3,3,3,tay ho,ha noi,19000000000
4.7,6.59,3,3,hai ba trung,ha noi,2980000000
3.1,10.0,5,3,quan 11,tp ho chi minh,5200000000
3.1,10.0,3,3,ba dinh,ha noi,3100000000
3.0,10.3,4,3,tay ho,ha noi,4250000000
3.1,10.0,2,1,ha dong,ha noi,1650000000
4.5,6.9,3,3,cau giay,ha noi,3000000000
3.1,10.0,2,2,binh thanh,tp ho chi minh,4700000000
3.0,10.3,3,3,tay ho,ha noi,6000000000
3.0,10.3,3,4,tay ho,ha noi,2200000000
3.0,10.3,2,1,tay ho,ha noi,7500000000
3.0,10.3,3,3,tay ho,ha noi,5500000000
3.0,10.3,5,4,tay ho,ha noi,5500000000
3.4,9.0,2,2,nha be,tp ho chi minh,1280000000
3.0,10.3,3,4,tay ho,ha noi,2050000000
3.1,10.0,4,4,dong da,ha noi,5500000000
3.0,10.3,3,4,tay ho,ha noi,2130000000
3.1,10.0,3,3,hai ba trung,ha noi,3300000000
3.0,10.3,4,4,tay ho,ha noi,3700000000
3.0,10.3,3,4,tay ho,ha noi,3350000000
3.0,10.3,4,4,tay ho,ha noi,3800000000
4.4,7.0,2,2,hai ba trung,ha noi,2700000000
3.9,8.0,2,2,binh thanh,tp ho chi minh,1150000000
5.2,6.0,3,3,tay ho,ha noi,3650000000
3.0,10.3,3,4,tay ho,ha noi,4500000000
6.0,5.2,3,3,tay ho,ha noi,2550000000
3.0,10.3,3,3,tay ho,ha noi,4700000000
3.0,10.3,4,3,tay ho,ha noi,5000000000
3.4,9.0,3,2,cau giay,ha noi,2450000000
3.4,9.0,5,3,quan 10,tp ho chi minh,5960000000
5.2,6.0,3,5,cau giay,ha noi,4350000000
3.1,10.0,2,2,hoang mai,ha noi,2000000000
3.1,10.0,3,3,hoang mai,ha noi,2600000000
3.0,10.3,4,3,tay ho,ha noi,3900000000
3.4,9.0,3,3,dong da,ha noi,2950000000
3.4,9.0,3,3,tay ho,ha noi,3200000000
3.4,9.0,3,3,nam tu liem,ha noi,2500000000
3.7,8.5,3,4,nam tu liem,ha noi,2350000000
3.1,10.0,2,2,dong da,ha noi,3200000000
3.4,9.0,4,2,hoang mai,ha noi,2150000000
3.1,10.0,3,3,thanh xuan,ha noi,3000000000
3.4,9.0,2,3,hai ba trung,ha noi,1950000000
3.0,10.3,4,5,tay ho,ha noi,4000000000
3.0,10.3,5,4,tay ho,ha noi,3300000000
3.0,10.3,3,4,tay ho,ha noi,2900000000
3.1,10.0,4,4,dong da,ha noi,2950000000
3.0,10.3,2,1,tay ho,ha noi,2100000000
5.5,5.6,4,4,tay ho,ha noi,4700000000
4.0,7.75,2,3,hai ba trung,ha noi,2550000000
3.2,9.8,3,2,ninh kieu,can tho,1950000000
3.1,10.0,3,3,hoang mai,ha noi,2250000000
3.0,10.3,4,4,tay ho,ha noi,2700000000
3.0,10.3,4,3,tay ho,ha noi,3150000000
3.0,10.3,4,3,tay ho,ha noi,6500000000
3.0,10.3,3,1,tay ho,ha noi,1750000000
3.1,10.0,3,2,ninh kieu,can tho,2499000000
3.01,10.3,3,3,tay ho,ha noi,19100000000
4.3,7.2,23,3,hai ba trung,ha noi,2450000000
3.4,9.0,3,4,cau giay,ha noi,3300000000
3.0,10.3,3,4,tay ho,ha noi,4550000000
3.0,10.3,4,3,tay ho,ha noi,5600000000
3.0,10.3,3,3,tay ho,ha noi,13800000000
3.9,8.0,2,3,hoang mai,ha noi,2800000000
3.0,10.3,3,3,tay ho,ha noi,4300000000
3.0,10.3,6,6,tay ho,ha noi,8700000000
3.0,10.3,7,5,tay ho,ha noi,5900000000
4.37,7.0,3,3,dong da,ha noi,2950000000
3.0,10.3,3,2,tay ho,ha noi,3700000000
2.8,11.0,2,1,quan 5,tp ho chi minh,1120000000
3.2,9.8,5,1,hoang mai,ha noi,4650000000
6.0,5.2,2,2,ba dinh,ha noi,4000000000
3.1,10.0,4,4,dong da,ha noi,14300000000
3.0,10.3,4,4,tay ho,ha noi,3300000000
3.05,10.3,2,1,tan phu,tp ho chi minh,2800000000
3.0,10.3,6,5,tay ho,ha noi,6800000000
3.0,10.3,3,3,tay ho,ha noi,8700000000
3.3,9.5,3,3,ba dinh,ha noi,6700000000
3.0,10.3,2,2,tay ho,ha noi,900000000
3.0,10.3,3,4,tay ho,ha noi,3500000000
3.1,10.0,3,2,ninh kieu,can tho,2690000000
3.1,10.0,3,3,dong da,ha noi,3500000000
5.2,6.0,3,4,cau giay,ha noi,4400000000
3.2,9.62,3,3,hoai duc,ha noi,2100000000
3.0,10.3,3,4,tay ho,ha noi,4200000000
3.0,10.3,4,3,tay ho,ha noi,2650000000
2.8,11.0,2,1,quan 5,tp ho chi minh,1300000000
3.0,10.3,3,3,tay ho,ha noi,2000000000
3.0,10.3,1,1,tay ho,ha noi,3600000000
3.0,10.3,3,4,tay ho,ha noi,3700000000
3.0,10.3,3,4,tay ho,ha noi,3900000000
3.0,10.3,4,5,tay ho,ha noi,4100000000
3.8,8.16,2,3,gia lam,ha noi,1900000000
3.0,10.3,3,3,tay ho,ha noi,2900000000
3.0,10.3,4,4,nam tu liem,ha noi,2880000000
3.1,10.0,3,3,hoan kiem,ha noi,7500000000
4.1,7.5,3,3,hoang mai,ha noi,3100000000
3.0,10.3,3,3,tay ho,ha noi,3600000000
3.1,10.0,3,3,thanh xuan,ha noi,2450000000
3.9,8.0,3,4,cau giay,ha noi,3600000000
3.0,10.3,4,4,tay ho,ha noi,6000000000
5.0,6.2,3,3,ba dinh,ha noi,4500000000
3.0,10.3,4,3,tay ho,ha noi,4700000000
3.0,10.3,3,2,tay ho,ha noi,5000000000
3.1,10.0,3,2,hai ba trung,ha noi,2800000000
3.0,10.3,3,3,tay ho,ha noi,2980000000
6.0,5.2,2,2,ba dinh,ha noi,2500000000
3.1,10.0,3,3,thanh xuan,ha noi,2400000000
3.4,9.0,3,3,cau giay,ha noi,2800000000
3.0,10.3,3,4,tay ho,ha noi,3300000000
3.1,10.0,4,4,nam tu liem,ha noi,3000000000
3.4,9.0,5,4,phu nhuan,tp ho chi minh,4450000000
3.0,10.3,4,3,tay ho,ha noi,8500000000
3.4,9.0,3,3,quan 3,tp ho chi minh,5500000000
3.0,10.3,3,4,tay ho,ha noi,3020000000
3.9,8.0,4,3,thanh xuan,ha noi,3000000000
2.8,11.0,3,3,tay ho,ha noi,3650000000
7.3,4.25,3,3,tay ho,ha noi,4200000000
3.9,8.0,3,3,dong da,ha noi,5000000000
3.0,10.3,3,4,tay ho,ha noi,5500000000
3.1,10.0,6,4,quan 11,tp ho chi minh,5000000000
3.1,10.0,2,2,dong da,ha noi,4200000000
3.0,10.3,2,1,tay ho,ha noi,2990000000
3.0,10.3,1,1,tay ho,ha noi,12500000000
3.0,10.3,2,2,tay ho,ha noi,2400000000
3.1,10.0,2,1,tan binh,tp ho chi minh,3700000000
4.1,7.5,3,3,ha dong,ha noi,2100000000
3.4,9.0,3,4,dong da,ha noi,3850000000
3.1,10.0,3,3,hai ba trung,ha noi,26000000000
3.5,8.9,3,4,thanh xuan,ha noi,3650000000
